# generated by scripts/build_synonyms.py from WordNet — do not edit by hand
word	synonym	sense_rank
aeromechanics	aerodynamics	0
aeronautics	astronautics	0
aesthetic	esthetic	0
aesthetical	esthetical	0
aesthetically	esthetically	0
aesthetician	esthetician	0
aesthetics	esthetics	0
affability	geniality	0
affable	genial	0
affair	matter	0
affect	impact	0
affectation	mannerism	0
affected	impact	0
affectedness	affectation	1
affecting	impact	0
affection	tenderness	0
affectionate	tender	0
affectionately	dearly	0
affective	emotive	0
affiliation	association	0
affirm	sustain	0
affirmable	assertable	0
affirmation	avouchment	0
affirmer	asserter	0
affix	append	1
affixation	attachment	2
afflict	smite	1
afflicted	stricken	0
afflicting	smite	1
affluence	richness	0
affluent	moneyed	0
afford	yield	1
affront	insult	0
affronted	diss	0
aflame	ablaze	0
afloat	adrift	0
aflutter	nervous	0
aforementioned	aforesaid	0
after	later	1
afterlife	hereafter	0
aftermath	backwash	0
afterthought	reconsideration	0
afterward	subsequently	0
afterwards	subsequently	0
age	eld	2
aged	mature	1
agedness	senescence	0
ageism	agism	0
ageless	unending	0
agency	bureau	0
agenda	docket	0
agent	factor	3
aggravate	exacerbate	0
aggravated	provoked	1
aggravating	exacerbate	0
aggravation	provocation	1
aggravator	annoyance	0
aggregate	totality	0
aggregation	assemblage	0
aggregative	mass	0
aggregator	collector	0
aggression	hostility	2
aggressive	belligerent	2
aggressively	sharply	0
aggressiveness	belligerence	2
aggressor	assailant	0
aggrieve	grieve	1
aggrieved	grieve	1
aghast	dismayed	0
agile	nimble	0
agility	lightness	0
aging	ageing	0
agitate	foment	0
agitation	ferment	1
agitator	fomenter	0
aglow	luminous	0
agnostic	doubter	0
agnosticism	scepticism	1
agonistic	combative	1
agonizing	harrowing	0
agonizingly	torturously	0
agony	torment	0
agree	hold	0
agreeability	agreeableness	0
agreeable	consonant	1
agreeableness	amenity	0
agreeably	enjoyably	0
agreed	concur	0
agreeing	concur	0
agreement	understanding	0
agricultural	farming	1
agriculturalist	cultivator	0
agriculture	agribusiness	0
agriculturist	cultivator	0
ahead	before	0
ahem	hem	0
aid	assistance	0
aide	auxiliary	1
aides	pluto	0
aids	assistance	1
ailing	unwell	0
ailment	complaint	0
aim	direct	0
aiming	direct	0
aimless	adrift	0
aimlessness	purposelessness	0
air	aura	2
airfield	field	0
airiness	buoyancy	1
airing	aerate	0
airless	unaired	0
airlift	lift	0
airline	airway	1
airmail	airpost	1
airman	aviator	0
airmanship	aviation	0
airplane	plane	0
airport	airdrome	0
airship	dirigible	0
airsick	carsick	0
airstream	backwash	1
airstrip	strip	0
airway	skyway	1
airy	aired	0
aisle	gangway	1
akin	kindred	0
alarm	dismay	0
alarmed	dismay	0
alas	regrettably	2
albatross	millstone	0
alchemy	chemistry	0
alcohol	inebriant	0
alcoholic	lush	0
alcoholism	drunkenness	0
alcove	bay	0
alert	merry	1
alertness	wakefulness	0
alfalfa	lucerne	0
alibi	excuse	1
alien	foreign	0
alienate	estrange	0
alienation	estrangement	0
aliens	foreigner	0
alight	perch	0
align	adjust	0
alignment	coalition	0
alike	likewise	0
alikeness	similitude	0
alimony	maintenance	0
alive	live	0
aliveness	liveness	1
alkalize	basify	0
all	whole	2
allegation	allegement	1
allege	aver	0
alleged	supposed	1
allegiance	dedication	0
allegory	parable	0
allergic	hypersensitive	1
alleviate	relieve	0
alleviation	assuagement	0
alleviative	mitigative	0
alleviator	palliative	1
alliance	confederation	0
allied	confederate	3
allies	ally	3
alligator	gator	1
allocable	apportionable	0
allocate	apportion	0
allocation	allotment	0
allocator	distributor	0
allotment	allocation	0
allow	permit	0
allowable	permissible	1
allowably	permissibly	0
allowance	adjustment	2
alloy	metal	0
allude	advert	0
allure	temptingness	0
alluring	enticing	0
ally	friend	1
almighty	omnipotent	0
almost	most	0
aloha	ciao	0
alone	lonely	1
aloneness	lonesomeness	0
alongside	aboard	0
aloof	upstage	0
aloofness	withdrawnness	1
aloud	loudly	1
alphabet	rudiment	1
alphabetization	alphabetisation	0
alphanumeric	alphamerical	0
alphanumerical	alphamerical	0
alright	fine	1
also	besides	0
altarpiece	reredos	0
alter	modify	0
alteration	modification	0
altercation	affray	0
alternate	substitute	1
alternative	option	0
alternatively	instead	0
altitude	height	0
alto	contralto	1
altogether	entirely	0
altruism	selflessness	0
altruistic	selfless	0
altruistically	selflessly	0
alum	grad	2
alumni	grad	0
always	ever	0
amass	cumulate	0
amateur	unpaid	0
amateurish	unskilled	0
amaze	astound	0
amazed	stunned	0
amazement	astonishment	0
amazing	awesome	1
amazingly	surprisingly	0
ambassador	embassador	0
amber	gold	0
ambiance	ambience	0
ambidexterity	ambidextrousness	0
ambidextrous	duplicitous	1
ambidextrousness	ambidexterity	0
ambience	ambiance	0
ambiguity	equivocalness	1
ambiguous	equivocal	0
ambiguously	equivocally	0
ambition	aspiration	0
ambitionless	unambitious	0
ambitious	challenging	1
ambitiously	determinedly	0
amble	mosey	0
ambling	mosey	0
ambush	trap	0
amen	amon	0
amenable	conformable	0
amend	improve	1
amendable	correctable	0
amends	damages	0
amenity	agreeableness	0
amiable	cordial	1
amicability	amicableness	0
amicableness	amicability	0
amiss	awry	0
ammo	ammunition	0
ammunition	ammo	0
amnesia	blackout	0
amnesty	pardon	1
amoeba	ameba	0
amoebic	amebous	0
amok	amuck	0
amorousness	enamoredness	0
amorphous	shapeless	0
amount	sum	0
amphetamine	upper	0
amphitheater	coliseum	1
ample	copious	1
amplification	elaboration	0
amplify	magnify	0
amplitude	bountifulness	1
amply	richly	0
amuck	amok	0
amulet	talisman	0
amuse	divert	0
amused	diverted	0
amusement	entertainment	1
amusing	diverting	0
amusingly	divertingly	0
anaesthetize	anesthetise	0
analgesic	painkiller	0
analog	parallel	0
analogous	correspondent	0
analogue	linear	0
analyses	psychoanalysis	5
analysis	psychoanalysis	5
analyst	psychoanalyst	2
analytic	uninflected	2
analyzable	decomposable	0
analyze	canvas	0
anarchic	lawless	0
anarchical	lawless	0
anarchist	nihilist	0
anarchy	lawlessness	0
anatomy	physique	1
ancestor	ascendant	0
ancestors	ascendant	0
ancestral	hereditary	0
ancestry	pedigree	0
anchor	backbone	1
anchored	ground	0
androgyny	bisexuality	0
android	humanoid	0
anemia	anaemia	0
anemic	anaemic	0
anemone	windflower	0
anesthesia	anaesthesia	0
anesthesiologist	anaesthetist	0
anesthetic	anaesthetic	0
anesthetist	anaesthetist	0
anesthetize	anaesthetize	0
anew	afresh	0
angel	saint	1
angelfish	spadefish	1
angelic	sainted	0
angelical	cherubic	1
anger	choler	0
angle	slant	1
angled	slant	1
angler	troller	1
angles	slant	1
angleworm	fishworm	0
angling	slant	1
angriness	anger	0
angry	wild	1
anguish	torment	0
anguished	tormented	0
angus	aengus	0
animal	beast	0
animalize	brutalise	1
animate	sentient	2
animated	alive	0
animating	invigorate	0
animation	vitality	1
animator	energiser	0
anklebone	astragal	0
anklet	bobbysock	1
annex	wing	0
annexation	appropriation	0
annihilate	extinguish	0
annihilation	obliteration	0
annihilative	withering	0
annotate	footnote	0
annotation	notation	0
announce	declare	1
announcement	declaration	0
annoy	gravel	0
annoyance	irritation	0
annoyed	stung	0
annoyer	vexer	0
annoying	teasing	0
annual	yearly	1
annually	yearly	0
annuity	rente	0
annul	nullify	0
annulment	revocation	0
annunciation	proclamation	2
anoint	inunct	1
anointed	embrocate	1
anonymity	namelessness	0
answer	respond	0
answerability	answerableness	0
answerer	responder	0
ant	emmet	0
antacid	antiacid	0
antagonism	hostility	0
antagonist	adversary	0
antagonistic	counter	0
antagonize	counteract	1
anteater	pangolin	0
antenna	aerial	0
antennae	aerial	0
anterior	prior	1
anthem	hymn	1
anthill	formicary	0
anthropomorphic	humanlike	0
antiaircraft	flack	0
antic	fantastical	0
anticipate	foresee	1
anticipation	expectancy	0
anticipative	expectant	0
anticipatory	prevenient	0
anticlimax	bathos	1
anticlockwise	counterclockwise	0
anticoagulant	decoagulant	0
antics	caper	0
antidote	counterpoison	0
antifeminism	chauvinism	0
antifungal	fungicidal	0
antipathy	distaste	0
antipsychotic	neuroleptic	0
antiquated	archaic	0
antique	demode	1
antiques	oldtimer	0
antiquity	ancientness	1
antisocial	asocial	1
antitrust	antimonopoly	0
antonym	opposite	0
antsy	itchy	0
anxious	dying	0
anxiously	uneasily	0
anxiousness	disquiet	1
any	whatever	0
anyhow	anyways	0
anyplace	anywhere	0
anyway	anyhow	0
anyways	anyhow	0
anywhere	anyplace	0
apart	aside	1
apartment	flat	0
apartments	flat	0
apathetic	indifferent	1
apathy	numbness	1
ape	copycat	1
apelike	anthropoid	0
apex	peak	0
apocalypse	revelation	1
apocalyptic	revelatory	0
apocalyptical	revelatory	0
apolitical	unpolitical	0
apologetic	excusatory	0
apologist	vindicator	0
apologize	justify	1
apology	excuse	2
apostolic	pontifical	1
apothecary	druggist	0
appall	scandalise	0
appalled	dismayed	0
appalling	dismaying	0
apparatus	setup	0
apparel	clothes	0
apparent	manifest	0
apparently	seemingly	0
apparition	specter	0
apparitional	phantasmal	0
appeal	prayer	0
appealing	sympathetic	1
appear	seem	0
appearance	show	5
appeasable	conciliable	0
appease	placate	0
appeasement	calming	0
appeasing	conciliate	0
append	affix	0
appendage	extremity	0
appendectomy	appendicectomy	0
appetizer	starter	0
appetizing	appetising	0
applaud	acclaim	0
applaudable	laudable	0
applauder	clapper	0
applause	clapping	0
applesauce	tripe	1
appliance	contraption	0
applicability	pertinence	0
application	covering	2
applied	employ	0
apply	employ	0
appoint	nominate	0
appointment	assignment	0
appraisal	assessment	0
appraise	evaluate	0
appraiser	valuator	0
appraising	valuate	0
appreciate	treasure	2
appreciation	grasp	0
appreciatively	gratefully	0
appreciativeness	gratefulness	0
apprehend	comprehend	0
apprehender	knower	0
apprehensible	perceivable	0
apprehension	dread	0
apprehensive	discerning	0
apprehensively	uneasily	0
apprehensiveness	dread	0
apprentice	learner	0
apprise	notify	0
approach	attack	0
approachability	accessibility	0
approachable	accessible	0
approaching	near	0
appropriately	suitably	0
appropriateness	rightness	0
appropriation	annexation	1
approval	blessing	0
approve	sanction	0
approximate	rough	0
approximately	roughly	0
approximation	estimation	0
apricot	peach	2
apron	forestage	2
apt	minded	0
aptly	ably	0
aptness	propensity	0
aqua	turquoise	0
aquamarine	turquoise	1
arbitrarily	haphazardly	0
arbitrariness	whimsicality	0
arbitrate	intercede	0
arbitration	arbitrement	1
arbitrator	umpire	0
arbor	spindle	1
arc	spark	0
arcade	colonnade	1
archaeological	archeological	0
archaeologist	archeologist	0
archaeology	archeology	0
archaic	antiquated	0
arched	bowed	1
archer	bowman	0
archetypal	prototypical	0
archetypical	prototypal	0
arching	arcuate	0
architect	designer	0
arcing	curve	0
arctic	frigid	1
ardent	torrid	0
arduousness	strenuousness	0
are	exist	3
area	country	0
arena	orbit	0
arguable	disputable	1
argue	reason	0
arguer	debater	0
argument	statement	0
argumentation	debate	0
argumentatively	disputatiously	0
arid	waterless	0
aridity	barrenness	0
aridness	thirstiness	0
arise	develop	0
arisen	originate	0
aristocracy	nobility	0
aristocrat	patrician	0
aristocratic	patrician	0
arm	limb	1
arming	fortify	0
armored	panoplied	2
armory	inventory	0
armpit	axilla	0
arms	weaponry	0
army	usa	2
aroma	odor	0
aromatic	redolent	1
aromatize	perfume	0
arose	arise	0
around	about	0
arousal	rousing	0
arouse	elicit	0
arouser	rouser	0
arrange	stage	2
arrangement	agreement	0
arranger	organizer	0
array	regalia	2
arrest	catch	0
arresting	apprehend	0
arrhythmic	jerking	0
arrival	reaching	0
arrive	come	0
arrogance	lordliness	0
arrogant	chesty	0
arrow	pointer	0
arsenal	armory	0
arsenic	ratsbane	0
arson	incendiarism	0
arsonist	incendiary	0
art	prowess	2
artful	disingenuous	0
artfully	cunningly	2
arthritic	rheumatoid	0
article	clause	2
articled	apprenticed	1
articulate	formulate	1
articulated	formulate	1
articulately	eloquently	0
articulateness	volubility	0
articulation	juncture	1
artifact	artefact	0
artifice	ruse	0
artificial	unreal	0
artificially	unnaturally	0
artillery	ordnance	0
artilleryman	cannoneer	0
artisan	journeyman	0
artistic	aesthetic	2
artistry	prowess	0
artless	ingenuous	0
artlessly	inexpertly	0
artlessness	naturalness	0
arts	humanities	0
artwork	graphics	0
arugula	roquette	0
ascend	uprise	6
ascendable	ascendible	0
ascendant	ancestor	1
ascendency	ascendance	0
ascension	rising	1
ascent	upgrade	0
ascertain	determine	0
ascertainable	discoverable	0
ascribe	impute	0
aseptic	sterile	0
asexual	nonsexual	0
asexuality	sexlessness	0
ashcan	dustbin	0
ashen	livid	0
aside	apart	2
asinine	mindless	0
ask	inquire	0
asker	inquirer	0
askew	awry	0
asleep	numb	1
asocial	antisocial	1
aspect	facet	0
asphyxiate	suffocate	0
asphyxiation	suffocation	0
aspiration	ambition	1
aspire	aim	0
aspirer	wannabee	0
aspirin	empirin	0
aspiring	wishful	0
assail	attack	0
assailant	attacker	0
assassin	bravo	0
assassination	blackwash	0
assassinator	bravo	0
assault	violation	3
assaulter	aggressor	0
assaying	essay	1
assemblage	gathering	0
assemble	tack	0
assembly	fabrication	1
assent	acquiescence	0
assenting	accession	0
assert	maintain	0
asserter	declarer	0
assertion	averment	0
assess	evaluate	0
assessed	appraise	0
assessment	appraisal	0
asset	plus	0
assets	plus	1
assign	delegate	0
assignable	conveyable	0
assigned	delegate	0
assignment	grant	3
assimilate	ingest	0
assimilation	absorption	1
assimilator	learner	0
assist	aid	0
assistance	aid	0
assistant	supporter	0
associability	associableness	0
associate	companion	1
associated	relate	0
association	connection	3
assort	consort	0
assorted	motley	0
assortment	smorgasbord	0
assume	presume	0
assumed	presume	0
assuming	presume	0
assumption	supposition	1
assumptive	presumptuous	0
assurance	authority	0
assure	secure	0
assured	ensure	0
assuredness	aplomb	0
assuring	insure	0
asterisk	star	0
asthmatic	wheezy	0
astonish	amaze	0
astonished	astounded	0
astonishing	staggering	1
astonishingly	surprisingly	0
astonishment	amazement	0
astound	amaze	0
astounded	astonished	0
astounding	astonish	0
astral	stellar	0
astringency	stypsis	1
astringent	styptic	0
astrobiology	exobiology	0
astronaut	spaceman	0
astronautics	aeronautics	0
astronomer	stargazer	0
astronomic	galactic	1
astronomical	galactic	1
astronomy	uranology	0
astute	shrewd	0
astutely	sapiently	0
asylum	refuge	0
asymmetrical	crooked	1
asymmetrically	unsymmetrically	0
asymmetry	dissymmetry	0
asymptomatic	symptomless	0
ate	eat	0
atheism	godlessness	0
atheistic	unbelieving	0
athlete	jock	0
athletic	acrobatic	1
athleticism	strenuosity	0
athletics	sport	0
atlas	telamon	3
atmosphere	ambience	0
atmospherics	static	0
atom	speck	1
atomic	nuclear	1
atomization	atomisation	0
atomize	nuke	1
atomizer	nebulizer	0
atone	abye	0
atonement	expiation	0
atrocious	grievous	0
atrociously	abominably	0
atrociousness	barbarousness	0
atrocity	barbarity	0
atrophy	wasting	0
attach	bind	3
attached	bond	3
attachment	adherence	4
attack	onset	0
attacker	assailant	0
attain	achieve	0
attainability	achievability	0
attainment	acquirement	2
attempt	effort	0
attempter	essayer	0
attend	look	1
attendant	tender	0
attendee	meeter	0
attention	care	1
attentive	thoughtful	1
attentiveness	heed	0
attest	certify	0
attic	loft	0
attire	garb	0
attitude	position	1
attorney	lawyer	0
attract	draw	0
attraction	magnet	3
attractively	beautifully	0
attractor	draw	0
attribute	assign	0
attribution	ascription	0
attributive	prenominal	0
atypical	untypical	0
auction	vendue	1
audacious	intrepid	0
audaciousness	temerity	0
audacity	temerity	0
audibility	audibleness	0
audible	hearable	0
audibleness	audibility	0
audience	hearing	2
audio	sound	0
audiology	audiometry	0
audition	hearing	0
auditor	listener	0
augmentative	enhancive	1
august	grand	1
aura	halo	1
aurora	sunrise	0
auspices	aegis	0
auspiciously	propitiously	0
auspiciousness	propitiousness	0
austere	severe	0
austerity	asceticism	0
authentic	reliable	0
authentically	genuinely	0
authentication	certification	1
authenticator	appraiser	0
authenticity	legitimacy	0
author	writer	0
authoritarian	dictatorial	0
authoritarianism	totalitarianism	0
authoritative	definitive	1
authoritatively	magisterially	0
authority	dominance	0
authorization	mandate	0
authorize	empower	1
authorized	clear	0
authorship	penning	0
auto	machine	0
autocracy	autarchy	0
autocratic	dominating	0
