# generated by scripts/build_vocab.py — do not edit by hand
word	class	concreteness	frequency	pos
aloof	abstract	1.46	33.0	Adjective
aloofly	abstract	1.82	0.0	#N/A
alpha	abstract	1.81	414.0	Noun
alright	abstract	1.93	4044.0	Adverb
alternatively	abstract	1.92	5.0	Adverb
altruism	abstract	1.50	11.0	Noun
altruistic	abstract	1.96	18.0	Adjective
amateurish	abstract	1.93	19.0	Adjective
amaze	abstract	2.00	82.0	Verb
amazed	abstract	1.52	261.0	Adjective
amazedly	abstract	1.44	0.0	#N/A
amazement	abstract	1.89	36.0	Noun
amazing	abstract	1.55	4167.0	Adjective
amazingly	abstract	1.58	91.0	Adverb
ambassadorial	abstract	1.77	2.0	Adjective
ambience	abstract	1.72	37.0	Noun
ambiguity	abstract	1.30	14.0	Noun
ambiguous	abstract	1.48	37.0	Adjective
ambition	abstract	1.74	273.0	Noun
ambitious	abstract	1.81	243.0	Adjective
ambivalence	abstract	1.70	12.0	Noun
ambivalent	abstract	1.21	12.0	Adjective
amen	abstract	1.78	1325.0	Interjection
amenable	abstract	1.86	9.0	Adjective
amendable	abstract	1.85	0.0	#N/A
amends	abstract	1.92	94.0	Noun
amicable	abstract	1.74	13.0	Adjective
amiss	abstract	1.53	38.0	Adverb
amok	abstract	2.00	26.0	Adverb
amoral	abstract	1.46	10.0	Adjective
amorality	abstract	1.64	2.0	Noun
amorously	abstract	1.82	0.0	#N/A
ampleness	abstract	2.00	0.0	#N/A
amply	abstract	2.00	18.0	Adverb
amuck	abstract	1.68	26.0	Noun
amused	abstract	1.96	128.0	Adjective
amusedly	abstract	2.00	1.0	Adverb
amusingly	abstract	2.00	4.0	Adverb
analogous	abstract	1.58	4.0	Adjective
analogy	abstract	1.61	58.0	Noun
analytic	abstract	1.80	4.0	Adjective
analytical	abstract	1.86	30.0	Adjective
anarchic	abstract	1.75	2.0	Adjective
anarchism	abstract	1.92	2.0	Noun
ancestral	abstract	1.96	29.0	Adjective
anecdotal	abstract	2.00	19.0	Adjective
anew	abstract	1.72	44.0	Adverb
angst	abstract	1.96	47.0	Noun
annoy	abstract	1.93	128.0	Verb
annual	abstract	1.78	367.0	Adjective
anomaly	abstract	1.79	63.0	Noun
