# generated by scripts/build_vocab.py — do not edit by hand
word	class	concreteness	frequency	pos
theological	abstract	1.41	20.0	Adjective
theology	abstract	1.93	36.0	Noun
theoretic	abstract	1.46	1.0	Adjective
theoretical	abstract	1.37	95.0	Adjective
theoretically	abstract	1.44	115.0	Adverb
theorize	abstract	1.70	10.0	Verb
therapeutically	abstract	1.85	2.0	Adverb
thereabout	abstract	1.48	3.0	Verb
thereabouts	abstract	1.77	7.0	Adverb
thereafter	abstract	1.52	62.0	Adverb
thereby	abstract	1.42	79.0	Adverb
therefore	abstract	1.33	1058.0	Adverb
therein	abstract	1.62	47.0	Adverb
thereof	abstract	1.31	50.0	Adverb
therewith	abstract	1.83	2.0	Adverb
thermodynamic	abstract	1.93	2.0	Adjective
thickheaded	abstract	1.96	6.0	Adjective
thievish	abstract	1.93	0.0	#N/A
thinkable	abstract	1.86	0.0	#N/A
thinking	abstract	1.96	14353.0	Verb
thornily	abstract	1.95	0.0	#N/A
thorough	abstract	1.66	240.0	Adjective
thought	abstract	1.97	41232.0	Verb
thoughtful	abstract	1.96	398.0	Adjective
thoughtfully	abstract	2.00	12.0	Adverb
thoughtfulness	abstract	1.69	12.0	Noun
thoughtless	abstract	1.68	71.0	Adjective
thoughtlessly	abstract	1.72	6.0	Adverb
thoughtlessness	abstract	1.82	4.0	Noun
thriftily	abstract	1.73	0.0	#N/A
thrifty	abstract	1.92	16.0	Adjective
thrillingly	abstract	1.71	2.0	Adverb
thunderously	abstract	2.00	3.0	Adverb
thus	abstract	1.36	628.0	Adverb
thusly	abstract	1.23	8.0	Adverb
timeless	abstract	1.57	44.0	Adjective
timelessness	abstract	1.65	2.0	Noun
timidity	abstract	1.97	6.0	Noun
tiresomely	abstract	1.52	2.0	Adverb
titillate	abstract	1.56	8.0	Verb
titillating	abstract	1.88	14.0	Verb
tolerably	abstract	1.64	5.0	Adverb
tolerate	abstract	1.78	354.0	Verb
torridly	abstract	1.96	0.0	#N/A
totality	abstract	1.92	7.0	Noun
totally	abstract	1.78	4377.0	Adverb
touristy	abstract	1.92	6.0	Noun
toxically	abstract	1.80	0.0	#N/A
toxicological	abstract	2.00	2.0	Adjective
tradition	abstract	1.69	697.0	Noun
traditional	abstract	1.76	415.0	Adjective
traditionally	abstract	1.41	47.0	Adverb
tragic	abstract	2.00	624.0	Adjective
tragically	abstract	1.76	68.0	Adverb
trainable	abstract	1.83	0.0	#N/A
traitorous	abstract	1.71	24.0	Adjective
tranquil	abstract	1.90	42.0	Adjective
tranquillity	abstract	1.89	15.0	#N/A
transcend	abstract	1.93	24.0	Verb
transcendence	abstract	1.48	5.0	Noun
transcendent	abstract	1.64	21.0	Adjective
transcendental	abstract	1.48	7.0	Adjective
transcending	abstract	1.41	4.0	Verb
transference	abstract	1.86	44.0	Noun
transitional	abstract	1.87	23.0	Adjective
transitive	abstract	1.50	6.0	Adjective
transitory	abstract	1.64	12.0	Adjective
treachery	abstract	1.69	96.0	Noun
treasonable	abstract	1.79	6.0	Adjective
treasonous	abstract	1.46	9.0	Adjective
tremendously	abstract	1.55	53.0	Adverb
trendiness	abstract	1.92	2.0	Noun
trendsetting	abstract	1.64	2.0	Verb
trepidation	abstract	1.68	7.0	Noun
trickery	abstract	1.90	38.0	Noun
trifling	abstract	1.63	35.0	Adjective
tritely	abstract	1.69	0.0	#N/A
triteness	abstract	1.85	0.0	#N/A
triumphant	abstract	2.00	70.0	Adjective
triumphing	abstract	1.92	3.0	Verb
trivialize	abstract	2.00	16.0	Verb
trivially	abstract	1.68	1.0	Adverb
troubled	abstract	1.82	346.0	Adjective
troubling	abstract	2.00	119.0	Verb
truculent	abstract	1.96	4.0	Adjective
true	abstract	1.70	0.0	Adjective
trueness	abstract	1.46	0.0	#N/A
truly	abstract	1.62	1830.0	Adverb
trustable	abstract	1.43	1.0	Adjective
trustful	abstract	1.76	5.0	Adjective
trustily	abstract	1.89	0.0	#N/A
trusting	abstract	1.40	294.0	Verb
trustless	abstract	1.54	0.0	#N/A
truth	abstract	1.96	9801.0	Noun
truthful	abstract	1.90	109.0	Adjective
truthfully	abstract	1.72	120.0	Adverb
truthfulness	abstract	1.81	9.0	Noun
typical	abstract	1.52	642.0	Adjective
typically	abstract	1.67	138.0	Adverb
tyrannize	abstract	1.75	0.0	#N/A
tyranny	abstract	1.68	82.0	Noun
ugh	abstract	1.72	738.0	Interjection
ulterior	abstract	1.44	46.0	Adjective
ultimate	abstract	1.70	460.0	Adjective
ultimately	abstract	1.26	288.0	Adverb
ultra	abstract	1.55	57.0	Adverb
unabashed	abstract	1.89	4.0	Adjective
unabashedly	abstract	1.46	4.0	Adverb
unabated	abstract	1.85	9.0	Adjective
unable	abstract	1.77	523.0	Adjective
unacceptable	abstract	1.73	271.0	Adjective
unaccommodating	abstract	1.69	2.0	Adjective
unaccountable	abstract	1.78	3.0	Adjective
unaccountably	abstract	1.65	4.0	Adverb
unaccounted	abstract	1.89	50.0	Adjective
unaccustomed	abstract	1.79	10.0	Adjective
unachievable	abstract	1.52	2.0	Adjective
unacknowledged	abstract	1.81	4.0	Adjective
unacquainted	abstract	1.96	4.0	Adjective
unadvised	abstract	1.72	2.0	Adjective
unadvisedly	abstract	1.30	6.0	Adverb
unaffected	abstract	1.77	22.0	Adjective
unafraid	abstract	1.84	26.0	Verb
unaided	abstract	1.88	4.0	Adjective
unaired	abstract	1.72	0.0	#N/A
unalike	abstract	1.91	1.0	Adjective
unallied	abstract	1.69	0.0	#N/A
unalterable	abstract	1.78	5.0	Adjective
unaltered	abstract	1.70	7.0	Adjective
unambiguous	abstract	1.40	3.0	Adjective
unanswerable	abstract	1.90	5.0	Adjective
unanticipated	abstract	1.44	5.0	Adjective
unapologetic	abstract	1.93	4.0	Adjective
unappetizing	abstract	1.70	3.0	Adjective
unapplied	abstract	1.68	0.0	#N/A
unappreciated	abstract	1.67	24.0	Adjective
unappreciative	abstract	1.93	7.0	Adjective
unapproachable	abstract	1.41	15.0	Adjective
unapproved	abstract	2.00	10.0	Adjective
unarguably	abstract	1.58	2.0	Adverb
unashamed	abstract	1.67	6.0	Adjective
unassailable	abstract	1.77	4.0	Adjective
unassigned	abstract	2.00	5.0	Adjective
unassisted	abstract	1.73	11.0	Adjective
unassuming	abstract	1.85	17.0	Adjective
unattainable	abstract	1.73	25.0	Adjective
unaudited	abstract	1.81	0.0	#N/A
unavailable	abstract	1.93	105.0	Adjective
unavailing	abstract	1.69	3.0	Adjective
unavoidable	abstract	1.64	61.0	Adjective
unaware	abstract	1.75	120.0	Adjective
unawares	abstract	1.87	13.0	Adverb
unbearable	abstract	2.00	129.0	Adjective
unbeatable	abstract	1.73	40.0	Adjective
unbeautiful	abstract	1.81	2.0	Adjective
unbeknown	abstract	1.96	0.0	#N/A
unbeknownst	abstract	1.48	15.0	Adverb
unbelief	abstract	1.56	1.0	Noun
unbelievable	abstract	1.54	1500.0	Adjective
unbelievably	abstract	1.66	112.0	Adverb
unbeliever	abstract	1.88	4.0	Verb
unbelieving	abstract	1.69	5.0	Adjective
unbigoted	abstract	1.52	0.0	#N/A
unblessed	abstract	1.37	3.0	Adjective
unbridled	abstract	1.35	30.0	Adjective
unburden	abstract	2.00	11.0	Noun
uncannily	abstract	1.92	4.0	Adverb
uncanny	abstract	1.63	76.0	Adjective
uncaring	abstract	1.87	14.0	Adjective
unceasingly	abstract	1.54	5.0	Adverb
unceremonious	abstract	1.75	6.0	Adjective
unceremoniously	abstract	1.69	5.0	Adverb
uncertain	abstract	1.88	121.0	Adjective
uncertainty	abstract	1.75	69.0	Noun
uncharacteristic	abstract	1.85	5.0	Adjective
unchristian	abstract	1.55	7.0	Adjective
uncivil	abstract	1.70	3.0	Adjective
uncivilly	abstract	1.79	0.0	#N/A
uncomely	abstract	1.92	0.0	#N/A
uncommitted	abstract	1.83	6.0	Adjective
uncommonly	abstract	1.79	13.0	Adverb
uncomplicated	abstract	1.97	31.0	Adjective
uncompromised	abstract	1.92	2.0	Adjective
uncompromising	abstract	1.93	21.0	Adjective
unconcern	abstract	1.96	0.0	#N/A
unconditional	abstract	1.77	47.0	Adjective
unconditionally	abstract	1.96	20.0	Adverb
unconscionable	abstract	1.68	18.0	Adjective
unconscionably	abstract	1.68	2.0	Adverb
unconsciously	abstract	1.57	44.0	Adverb
unconstrained	abstract	1.89	4.0	Adjective
uncontestable	abstract	1.83	2.0	Adjective
uncontrollably	abstract	2.00	15.0	Adverb
uncontrolled	abstract	1.72	15.0	Adjective
uncontroversial	abstract	1.93	8.0	Adjective
unconventional	abstract	1.96	44.0	Adjective
unconvinced	abstract	1.73	8.0	Adjective
unconvincing	abstract	1.93	5.0	Adjective
uncooperative	abstract	1.85	32.0	Adjective
uncorrupt	abstract	2.00	0.0	#N/A
uncorrupted	abstract	1.86	3.0	Adjective
uncouth	abstract	1.87	29.0	Adjective
uncreated	abstract	1.65	1.0	Adjective
uncritical	abstract	1.60	2.0	Adjective
uncultured	abstract	1.81	3.0	Adjective
uncurious	abstract	1.65	1.0	Adjective
undaunted	abstract	1.97	14.0	Adjective
undeceive	abstract	1.92	0.0	#N/A
undecided	abstract	1.83	18.0	Adjective
undeclared	abstract	1.81	13.0	Adjective
undefended	abstract	1.85	11.0	Adjective
undefiled	abstract	1.75	2.0	Adjective
undefined	abstract	1.40	10.0	Adjective
undemanding	abstract	1.79	6.0	Adjective
undemocratic	abstract	1.68	3.0	Adjective
undeniably	abstract	1.48	13.0	Adverb
underachievement	abstract	1.70	3.0	Noun
underappreciated	abstract	1.41	4.0	Adjective
underbid	abstract	1.92	1.0	Verb
undergoing	abstract	1.69	35.0	Verb
underlie	abstract	1.96	0.0	#N/A
undermine	abstract	1.90	74.0	Verb
undermining	abstract	1.75	32.0	Verb
underprepared	abstract	1.77	3.0	Adjective
underprivileged	abstract	1.85	37.0	Adjective
underrated	abstract	1.93	29.0	Adjective
underrating	abstract	1.91	2.0	Verb
undersexed	abstract	1.66	3.0	Adjective
understandable	abstract	1.85	201.0	Adjective
understandably	abstract	1.86	27.0	Adverb
understanding	abstract	1.92	1117.0	Noun
understatement	abstract	1.79	88.0	Noun
undertake	abstract	1.71	52.0	Verb
undertook	abstract	1.58	11.0	Verb
underwhelmed	abstract	1.76	5.0	Adjective
undeserving	abstract	1.83	9.0	Verb
undetectable	abstract	1.72	29.0	Adjective
undetermined	abstract	1.59	22.0	Adjective
undeterred	abstract	1.77	4.0	Adjective
undiagnosed	abstract	1.74	7.0	Adjective
undignified	abstract	1.97	30.0	Adjective
undiplomatic	abstract	1.41	3.0	Adjective
undirected	abstract	1.83	2.0	Adjective
undisciplined	abstract	2.00	20.0	Adjective
undisclosed	abstract	1.73	11.0	Adjective
undisputed	abstract	1.50	29.0	Adjective
undistinguished	abstract	1.96	3.0	Adjective
undistracted	abstract	1.93	2.0	Adjective
undoable	abstract	1.91	2.0	Adjective
undomesticated	abstract	1.60	3.0	Adjective
undoubted	abstract	1.79	2.0	Adjective
undoubtedly	abstract	1.86	171.0	Adverb
undreamt	abstract	1.55	0.0	#N/A
undue	abstract	1.67	29.0	Adjective
unduly	abstract	1.77	24.0	Adverb
undutiful	abstract	1.73	0.0	#N/A
undying	abstract	1.87	44.0	Adjective
undyingly	abstract	1.48	2.0	Adverb
uneager	abstract	1.92	0.0	#N/A
unearned	abstract	1.57	1.0	Adjective
unearthly	abstract	1.85	15.0	Adjective
unease	abstract	1.93	5.0	Noun
uneasily	abstract	1.43	1.0	Adverb
uneasiness	abstract	1.82	9.0	Noun
uneasy	abstract	1.86	106.0	Adjective
unembarrassed	abstract	1.69	2.0	Adjective
unemotional	abstract	1.88	10.0	Adjective
unemotionally	abstract	1.62	3.0	Adverb
unemployable	abstract	1.89	9.0	Adjective
unencumbered	abstract	1.83	4.0	Adjective
unending	abstract	1.93	25.0	Adjective
unendurable	abstract	1.85	9.0	Adjective
unenlightened	abstract	1.85	4.0	Adjective
unenvied	abstract	1.21	0.0	#N/A
unequaled	abstract	1.90	4.0	Adjective
unequivocally	abstract	1.64	16.0	Adverb
unessential	abstract	1.73	2.0	Adjective
unethical	abstract	1.62	90.0	Adjective
unethically	abstract	1.47	3.0	Adverb
uneventful	abstract	1.74	40.0	Adjective
uneventfully	abstract	1.78	3.0	Adverb
unexceptional	abstract	1.65	3.0	Adjective
unexcited	abstract	2.00	0.0	#N/A
unexciting	abstract	1.65	2.0	Adjective
unexcused	abstract	1.74	5.0	Adjective
unexplainable	abstract	1.45	35.0	Adjective
unexplained	abstract	1.79	79.0	Adjective
unexplored	abstract	1.79	23.0	Adjective
unexpressed	abstract	1.60	5.0	Adjective
unfading	abstract	1.96	0.0	#N/A
unfailingly	abstract	1.45	2.0	Adverb
unfair	abstract	1.62	502.0	Adjective
unfairly	abstract	1.55	35.0	Adverb
unfairness	abstract	1.67	11.0	Noun
unfaithful	abstract	1.93	120.0	Adjective
unfaithfulness	abstract	1.72	2.0	Noun
unfamiliar	abstract	1.83	78.0	Adjective
unfashionable	abstract	1.81	8.0	Adjective
unfashionably	abstract	2.00	2.0	Adverb
unfathomable	abstract	1.53	15.0	Adjective
unfavorable	abstract	1.92	14.0	Adjective
unfazed	abstract	1.75	3.0	Adjective
unfit	abstract	1.89	79.0	Adjective
unflappable	abstract	1.88	7.0	Adjective
unflattering	abstract	1.86	9.0	Adjective
unflawed	abstract	2.00	0.0	#N/A
unflinchingly	abstract	1.97	2.0	Adverb
unforeseeable	abstract	1.42	6.0	Adjective
unforeseen	abstract	1.83	29.0	Adjective
unforgettable	abstract	1.60	48.0	Adjective
unforgivable	abstract	1.32	100.0	Adjective
unforgivably	abstract	1.33	3.0	Adverb
unforgiven	abstract	1.73	3.0	#N/A
unforgiving	abstract	1.38	26.0	Adjective
unfortunate	abstract	1.78	604.0	Adjective
unfortunately	abstract	1.62	1652.0	Adverb
unfounded	abstract	1.89	31.0	Adjective
unfulfilled	abstract	1.63	20.0	Adjective
unfulfilling	abstract	1.44	7.0	Verb
unfunny	abstract	1.96	12.0	Adjective
unfussy	abstract	1.83	0.0	#N/A
ungenerous	abstract	1.66	8.0	Adjective
ungifted	abstract	1.85	0.0	#N/A
ungodly	abstract	1.56	30.0	Adjective
ungraceful	abstract	1.85	3.0	Adjective
ungraciously	abstract	1.96	3.0	Adverb
ungrateful	abstract	1.63	235.0	Adjective
unhallowed	abstract	1.85	3.0	Adjective
unhandy	abstract	1.96	0.0	#N/A
unhappiness	abstract	1.52	59.0	Noun
unhearing	abstract	2.00	0.0	#N/A
unhelpful	abstract	1.54	9.0	Adjective
unhesitatingly	abstract	1.73	3.0	Adverb
unhittable	abstract	1.88	2.0	Adjective
unholy	abstract	1.52	68.0	Adjective
unhopeful	abstract	1.71	0.0	#N/A
unidentifiable	abstract	2.00	6.0	Adjective
unidentified	abstract	1.97	187.0	Adjective
unification	abstract	1.93	82.0	Noun
unifying	abstract	1.96	9.0	Adjective
unimaginable	abstract	1.37	47.0	Adjective
unimaginably	abstract	1.37	8.0	Adverb
unimaginative	abstract	2.00	15.0	Adjective
unimpeachable	abstract	1.48	7.0	Adjective
unimpeded	abstract	1.89	4.0	Adjective
unimportant	abstract	1.83	125.0	Adjective
unimpressed	abstract	1.68	16.0	Adjective
unimpressive	abstract	1.97	12.0	Adjective
uninformed	abstract	2.00	15.0	Adjective
uninhibited	abstract	1.67	12.0	Adjective
uninspired	abstract	1.33	18.0	Adjective
uninspiring	abstract	1.60	10.0	Adjective
uninsurable	abstract	2.00	2.0	Name
unintelligent	abstract	1.64	11.0	Adjective
unintelligibly	abstract	1.80	3.0	Adverb
unintended	abstract	1.90	10.0	Adjective
unintentional	abstract	1.79	21.0	Adjective
uninterested	abstract	1.73	5.0	Adjective
uninteresting	abstract	1.42	16.0	Adjective
uninvolved	abstract	1.81	11.0	Adjective
unique	abstract	1.89	696.0	Adjective
uniqueness	abstract	1.87	18.0	Noun
unissued	abstract	1.93	0.0	#N/A
unitary	abstract	1.83	0.0	#N/A
universal	abstract	1.87	299.0	Adjective
universally	abstract	1.71	27.0	Adverb
unjust	abstract	1.31	59.0	Adjective
unjustifiably	abstract	1.83	2.0	Adverb
unjustified	abstract	1.54	8.0	Adjective
unjustly	abstract	1.90	26.0	Adverb
unkindly	abstract	1.81	5.0	Adverb
unkindness	abstract	1.96	5.0	Noun
unknowable	abstract	1.42	10.0	Adjective
unknowing	abstract	1.43	13.0	Adjective
unknowingly	abstract	1.65	18.0	Adverb
unknown	abstract	1.47	774.0	Adjective
unladylike	abstract	1.72	8.0	Adjective
unlawfully	abstract	1.76	9.0	Adverb
unlearn	abstract	1.86	4.0	Verb
unlearned	abstract	1.79	0.0	#N/A
unlicensed	abstract	2.00	20.0	Adjective
unlikable	abstract	1.82	9.0	Adjective
unlikelihood	abstract	1.64	2.0	Noun
unlikely	abstract	1.93	258.0	Adjective
unlimited	abstract	1.88	143.0	Adjective
unlovable	abstract	1.70	5.0	Adjective
unloved	abstract	1.89	18.0	Adjective
unluckily	abstract	1.78	4.0	Adverb
unlucky	abstract	1.79	210.0	Adjective
unmanaged	abstract	1.93	0.0	#N/A
unmannered	abstract	1.85	2.0	Adjective
unmannerly	abstract	1.96	3.0	Adjective
unmeaning	abstract	1.62	0.0	#N/A
unmeant	abstract	1.27	0.0	#N/A
unmentioned	abstract	1.59	2.0	Adjective
unmerciful	abstract	1.67	5.0	Adjective
unmercifully	abstract	1.48	3.0	Adverb
unmerited	abstract	1.60	0.0	#N/A
unmindful	abstract	1.54	0.0	#N/A
unmissed	abstract	1.60	1.0	Adjective
unmistakable	abstract	1.73	45.0	Adjective
unmistakably	abstract	1.81	4.0	Adverb
unmitigated	abstract	2.00	25.0	Adjective
unmodified	abstract	1.96	2.0	Adjective
unmolested	abstract	1.88	2.0	Adjective
unmoral	abstract	1.68	0.0	#N/A
unmorally	abstract	1.33	0.0	#N/A
unmoved	abstract	2.00	0.0	#N/A
unmusical	abstract	1.85	1.0	Adjective
unnamable	abstract	1.64	5.0	Adjective
unnatural	abstract	1.41	140.0	Adjective
unnaturally	abstract	1.80	6.0	Adverb
unnecessarily	abstract	1.52	41.0	Adverb
unnecessary	abstract	1.56	316.0	Adjective
unneeded	abstract	1.72	3.0	Adjective
unnerved	abstract	1.64	19.0	Verb
unnerving	abstract	1.96	18.0	Verb
unnoted	abstract	1.92	0.0	#N/A
unobtainable	abstract	1.86	6.0	Adjective
unobtrusively	abstract	1.62	4.0	Adverb
unobvious	abstract	1.42	1.0	Adjective
unofficial	abstract	1.61	50.0	Adjective
unofficially	abstract	1.93	38.0	Adverb
unorthodox	abstract	1.46	72.0	Adjective
unparalleled	abstract	1.66	29.0	Adjective
unpardonable	abstract	1.96	8.0	Adjective
unpatriotic	abstract	1.42	13.0	Adjective
unpayable	abstract	1.81	0.0	#N/A
unpitying	abstract	1.85	0.0	#N/A
unplaced	abstract	1.65	0.0	#N/A
unplanned	abstract	1.52	9.0	Adjective
unpleasant	abstract	1.91	311.0	Adjective
unpleasantly	abstract	1.96	2.0	Adverb
unpleasantness	abstract	2.00	29.0	Noun
unpledged	abstract	1.59	0.0	#N/A
unpopularity	abstract	1.79	2.0	Noun
unpractical	abstract	1.59	2.0	Adjective
unprecedented	abstract	1.59	80.0	Adjective
unpredictability	abstract	1.89	9.0	Noun
unprejudiced	abstract	1.89	3.0	Adjective
unpremeditated	abstract	1.79	7.0	Adjective
unpreparedness	abstract	2.00	2.0	Noun
unpretentious	abstract	1.76	9.0	Adjective
unprincipled	abstract	1.48	16.0	Adjective
unprofessional	abstract	1.85	77.0	Adjective
unpromising	abstract	1.28	3.0	Adjective
unpronounceable	abstract	1.79	4.0	Adjective
unproved	abstract	1.96	1.0	Adjective
unproven	abstract	1.73	11.0	Adjective
unprovoked	abstract	1.72	24.0	Adjective
unqualified	abstract	1.97	27.0	Adjective
unquestionable	abstract	1.54	2.0	Adjective
unquestionably	abstract	1.72	14.0	Adverb
unquestioned	abstract	1.72	13.0	Adjective
unquestioning	abstract	1.57	6.0	Adjective
unraced	abstract	1.74	0.0	#N/A
unranked	abstract	2.00	3.0	Adjective
unreal	abstract	1.52	127.0	Adjective
unrealism	abstract	1.59	0.0	#N/A
unrealistic	abstract	1.89	56.0	Adjective
unreality	abstract	1.52	5.0	Noun
unrealized	abstract	1.66	2.0	Adjective
unreasonable	abstract	1.60	194.0	Adjective
unreasonably	abstract	1.60	9.0	Adverb
unreasoning	abstract	1.79	4.0	Adjective
unrecoverable	abstract	1.79	3.0	Adjective
unredeemable	abstract	1.45	2.0	Adjective
unreeling	abstract	1.92	0.0	#N/A
unregulated	abstract	1.66	6.0	Adjective
unrelated	abstract	1.74	54.0	Adjective
unrelentingly	abstract	1.86	3.0	Adverb
unreliable	abstract	1.83	85.0	Adjective
unremarkable	abstract	1.81	21.0	Adjective
unremitting	abstract	1.84	3.0	Adjective
unrepentant	abstract	1.96	12.0	Adjective
unrepresented	abstract	1.92	2.0	Adjective
unrequited	abstract	2.00	22.0	Adjective
unreservedly	abstract	1.61	2.0	Adverb
unresolved	abstract	1.87	42.0	Adjective
unrevoked	abstract	1.56	0.0	#N/A
unrewarded	abstract	1.70	7.0	Adjective
unrewarding	abstract	1.32	3.0	Adjective
unrivaled	abstract	1.76	5.0	Adjective
unrivalled	abstract	1.65	5.0	Adjective
unromantic	abstract	1.86	24.0	Adjective
unrushed	abstract	1.72	0.0	#N/A
unsacred	abstract	1.41	0.0	#N/A
unsafe	abstract	1.89	77.0	Adjective
unsafely	abstract	1.63	0.0	#N/A
unsanctified	abstract	1.56	4.0	Adjective
unsanctioned	abstract	1.63	2.0	Adjective
unsatisfied	abstract	1.86	28.0	Adjective
unsatisfying	abstract	1.66	15.0	Verb
unsaved	abstract	1.87	2.0	Adjective
unsavory	abstract	1.75	39.0	Adjective
unscientific	abstract	1.96	11.0	Adjective
unscrupulous	abstract	1.62	29.0	Adjective
unseasonably	abstract	1.68	5.0	Adverb
unseemly	abstract	1.68	25.0	Adverb
unseen	abstract	1.67	110.0	Adjective
unselfish	abstract	1.50	44.0	Adjective
unselfishly	abstract	1.81	8.0	Adverb
unsentimental	abstract	1.92	3.0	Adjective
unserious	abstract	1.93	3.0	Adjective
unset	abstract	2.00	1.0	Verb
unsettlement	abstract	1.81	2.0	Noun
unsettling	abstract	1.42	41.0	Verb
unshapely	abstract	2.00	1.0	Adverb
unshared	abstract	1.86	0.0	#N/A
unskilled	abstract	1.97	3.0	Adjective
unsociable	abstract	1.85	6.0	Adjective
unsocial	abstract	2.00	4.0	Adjective
unsolvable	abstract	1.93	5.0	Adjective
unsolved	abstract	2.00	106.0	Adjective
unsought	abstract	1.81	1.0	Adjective
unsound	abstract	1.74	23.0	Adjective
unspeakable	abstract	1.52	95.0	Adjective
unspeakably	abstract	1.89	10.0	Adverb
unspecific	abstract	1.41	2.0	Adjective
unspecified	abstract	1.44	13.0	Adjective
unspectacular	abstract	1.38	3.0	Adjective
unspent	abstract	1.78	1.0	Adjective
unsporting	abstract	1.81	2.0	Verb
unsportsmanlike	abstract	2.00	6.0	Adjective
unstably	abstract	1.68	2.0	Adverb
unstated	abstract	1.92	3.0	Adjective
unstilted	abstract	1.76	0.0	#N/A
unstudied	abstract	1.69	1.0	Adjective
unsubstantiated	abstract	1.82	16.0	Adjective
unsubtly	abstract	1.86	1.0	Adverb
unsuccessfully	abstract	1.68	10.0	Adverb
unsuitable	abstract	1.52	24.0	Adjective
unsung	abstract	1.77	13.0	Adjective
unsupportable	abstract	1.85	2.0	Adjective
unsure	abstract	2.00	52.0	Adjective
unsuspected	abstract	1.65	8.0	Adjective
unsuspecting	abstract	1.73	53.0	Adjective
unsustainable	abstract	1.46	4.0	Adjective
unsworn	abstract	1.80	0.0	#N/A
unsympathetic	abstract	1.45	22.0	Adjective
untactful	abstract	1.86	0.0	#N/A
untainted	abstract	1.96	5.0	Adjective
untamable	abstract	1.72	4.0	Adjective
untaught	abstract	1.96	1.0	Noun
unthinkable	abstract	1.45	69.0	Adjective
unthinking	abstract	1.96	2.0	Adjective
unthrifty	abstract	1.96	1.0	Adjective
untimely	abstract	2.00	44.0	Adjective
untitled	abstract	2.00	4.0	Adjective
unto	abstract	1.65	389.0	Preposition
untold	abstract	1.76	62.0	Adjective
untraced	abstract	1.83	1.0	Adjective
untracked	abstract	1.96	1.0	Adjective
untranslatable	abstract	1.78	3.0	Adjective
untried	abstract	1.86	12.0	Adjective
untroubled	abstract	1.71	4.0	Adjective
untruly	abstract	1.72	0.0	#N/A
untrusting	abstract	1.40	6.0	Verb
untrustworthy	abstract	2.00	21.0	Adjective
untruthful	abstract	1.76	5.0	Adjective
unusable	abstract	1.88	14.0	Adjective
unusually	abstract	1.81	95.0	Adverb
unutterably	abstract	1.89	3.0	Adverb
unvalued	abstract	1.62	1.0	Adjective
unvanquished	abstract	1.92	4.0	Adjective
unvarying	abstract	1.67	0.0	#N/A
unversed	abstract	1.92	0.0	#N/A
unviable	abstract	1.97	1.0	Adjective
unvisited	abstract	1.93	0.0	#N/A
unwaged	abstract	1.96	0.0	#N/A
unwanted	abstract	2.00	70.0	Adjective
unwarlike	abstract	1.45	0.0	#N/A
unwarned	abstract	1.56	1.0	Adjective
unwarranted	abstract	1.93	19.0	Adjective
unwary	abstract	1.96	4.0	Adjective
unwavering	abstract	1.83	19.0	Adjective
unwelcome	abstract	2.00	37.0	Adjective
unwelcomed	abstract	1.96	2.0	Adjective
unwholesome	abstract	1.64	6.0	Adjective
unwilling	abstract	1.61	59.0	Adjective
unwillingly	abstract	1.62	10.0	Adverb
unwillingness	abstract	1.80	4.0	Noun
unwise	abstract	1.69	48.0	Adjective
unwisely	abstract	1.89	2.0	Adverb
unwished	abstract	1.64	1.0	Adjective
unwitting	abstract	1.59	14.0	Adjective
unwittingly	abstract	2.00	21.0	Adverb
unwomanly	abstract	1.68	0.0	#N/A
unworkable	abstract	1.92	7.0	Adjective
unworried	abstract	1.64	0.0	#N/A
unworthiness	abstract	1.73	3.0	Noun
unworthy	abstract	1.93	97.0	Adjective
upbeat	abstract	1.93	56.0	Adjective
upbringing	abstract	2.00	59.0	Noun
upcoming	abstract	1.96	88.0	Adjective
uplifting	abstract	1.96	35.0	Adjective
upsetting	abstract	1.86	218.0	Verb
uptight	abstract	1.86	206.0	Adjective
urbane	abstract	1.48	7.0	Adjective
urge	abstract	1.93	339.0	Noun
usability	abstract	1.48	0.0	#N/A
usable	abstract	2.00	27.0	Adjective
usefulness	abstract	1.86	28.0	Noun
useless	abstract	1.78	1017.0	Adjective
uselessly	abstract	1.88	7.0	Adverb
uselessness	abstract	1.43	5.0	Noun
usual	abstract	1.90	1899.0	Adjective
usualness	abstract	1.77	0.0	#N/A
utilize	abstract	1.96	45.0	Verb
utmost	abstract	1.64	118.0	Adjective
utopia	abstract	1.71	57.0	Name
utopian	abstract	1.87	15.0	Adjective
utopianism	abstract	1.35	2.0	Noun
utterly	abstract	1.69	249.0	Adverb
uttermost	abstract	1.50	3.0	Adjective
vagrantly	abstract	1.86	0.0	#N/A
vague	abstract	1.55	231.0	Adjective
vaguely	abstract	1.74	129.0	Adverb
vagueness	abstract	1.82	6.0	Noun
vain	abstract	1.91	332.0	Adverb
vainly	abstract	1.62	7.0	Adverb
vainness	abstract	1.77	0.0	#N/A
valiance	abstract	2.00	0.0	#N/A
valiant	abstract	1.59	126.0	Adjective
valiantly	abstract	1.60	18.0	Adverb
validity	abstract	1.89	30.0	Noun
validly	abstract	1.77	0.0	#N/A
validness	abstract	1.58	0.0	#N/A
valor	abstract	1.85	64.0	Noun
valuably	abstract	1.62	0.0	#N/A
value	abstract	1.62	1097.0	Noun
valued	abstract	1.56	95.0	Verb
valueless	abstract	1.59	1.0	Adjective
vamped	abstract	1.91	3.0	Verb
